Year,Month,OCEMAN Monthly Sum
2003,1,9.712859419979999e-09
2003,2,9.72223133559e-09
2003,3,9.731603523910001e-09
2003,4,9.74129269008e-09
2003,5,9.75098652314e-09
2003,6,9.760660355250002e-09
2003,7,9.76739509174e-09
2003,8,9.77020174725e-09
2003,9,9.7729472408e-09
2003,10,9.775683622100005e-09
2003,11,9.778422474379999e-09
2003,12,9.781160404849996e-09
2004,1,9.783949574680002e-09
2004,2,9.786642605289999e-09
2004,3,9.789342437370003e-09
2004,4,9.79207212473e-09
2004,5,9.794822822809994e-09
2004,6,9.797552741509999e-09
2004,7,9.805920924480001e-09
2004,8,9.82136691312e-09
2004,9,9.836587174470002e-09
2004,10,9.851818912590001e-09
2004,11,9.867044152820001e-09
2004,12,9.88226057283e-09
2005,1,9.89773834465e-09
2005,2,9.91245993321e-09
2005,3,9.927189657590001e-09
2005,4,9.94240894199e-09
2005,5,9.957638318039998e-09
2005,6,9.97286364865e-09
2005,7,9.983148730319996e-09
2005,8,9.987344160620003e-09
2005,9,9.991424943210002e-09
2005,10,9.995510693630001e-09
2005,11,9.99960925702e-09
2005,12,1.000368544779e-08
2006,1,1.0007853425570001e-08
2006,2,1.001180519686e-08
2006,3,1.001575069092e-08
2006,4,1.001986062629e-08
2006,5,1.0023941460800002e-08
2006,6,1.0028026777469996e-08
2006,7,1.0030384321360002e-08
2006,8,1.003039729519e-08
2006,9,1.003039729519e-08
2006,10,1.003039729519e-08
2006,11,1.003039729519e-08
2006,12,1.003039729519e-08
2007,1,1.003039729519e-08
2007,2,1.003039729519e-08
2007,3,1.003039729519e-08
2007,4,1.003039729519e-08
2007,5,1.003039729519e-08
2007,6,1.003039729519e-08
2007,7,1.0029556054799996e-08
2007,8,1.0027601641560003e-08
2007,9,1.0025656703290003e-08
2007,10,1.002373168773e-08
2007,11,1.002178466997e-08
2007,12,1.0019861877810002e-08
2008,1,1.001787594431e-08
2008,2,1.0015981712770004e-08
2008,3,1.001405005134e-08
2008,4,1.0012156319109997e-08
2008,5,1.001018774803e-08
2008,6,1.000827864566e-08
2008,7,1.000806158855e-08
2008,8,1.0010004099010002e-08
2008,9,1.0011961927889999e-08
2008,10,1.001385990636e-08
2008,11,1.0015822432150002e-08
2008,12,1.001775291891e-08
2009,1,1.0019732353450003e-08
2009,2,1.0021595969509999e-08
2009,3,1.002347655016e-08
2009,4,1.0025400842939997e-08
2009,5,1.002734679909e-08
2009,6,1.0029276375730003e-08
2009,7,1.0030392172720004e-08
2009,8,1.003039729519e-08
2009,9,1.003039729519e-08
2009,10,1.003039729519e-08
