Year,Month,SO4EMAN Monthly Sum
2015,1,5.56036558905e-09
2015,2,5.56036558905e-09
2015,3,5.56036558905e-09
2015,4,5.56036558905e-09
2015,5,5.56036558905e-09
2015,6,5.56036558905e-09
2015,7,5.56036558905e-09
2015,8,5.56036558905e-09
2015,9,5.56036558905e-09
2015,10,5.56036558905e-09
2015,11,5.56036558905e-09
2015,12,5.56036558905e-09
2016,1,5.56036558905e-09
2016,2,5.56036558905e-09
2016,3,5.56036558905e-09
2016,4,5.56036558905e-09
2016,5,5.56036558905e-09
2016,6,5.56036558905e-09
2016,7,5.56036558905e-09
2016,8,5.56036558905e-09
2016,9,5.56036558905e-09
2016,10,5.56036558905e-09
2016,11,5.56036558905e-09
2016,12,5.56036558905e-09
2017,1,5.56036558905e-09
2017,2,5.56036558905e-09
2017,3,5.56036558905e-09
2017,4,5.56036558905e-09
2017,5,5.56036558905e-09
2017,6,5.56036558905e-09
2017,7,5.56036558905e-09
2017,8,5.56036558905e-09
2017,9,5.56036558905e-09
2017,10,5.56036558905e-09
2017,11,5.56036558905e-09
2017,12,5.56036558905e-09
2018,1,5.56036558905e-09
2018,2,5.56036558905e-09
2018,3,5.56036558905e-09
2018,4,5.56036558905e-09
2018,5,5.56036558905e-09
2018,6,5.56036558905e-09
2018,7,5.56036558905e-09
2018,8,5.56036558905e-09
2018,9,5.56036558905e-09
2018,10,5.56036558905e-09
2018,11,5.56036558905e-09
2018,12,5.56036558905e-09
2019,1,5.56036558905e-09
2019,2,5.56036558905e-09
2019,3,5.56036558905e-09
2019,4,5.56036558905e-09
2019,5,5.56036558905e-09
2019,6,5.56036558905e-09
2019,7,5.56036558905e-09
2019,8,5.56036558905e-09
2019,9,5.56036558905e-09
2019,10,5.56036558905e-09
2019,11,5.56036558905e-09
2019,12,5.56036558905e-09
2020,1,5.56036558905e-09
2020,2,5.56036558905e-09
2020,3,5.56036558905e-09
2020,4,5.56036558905e-09
2020,5,5.56036558905e-09
2020,6,5.56036558905e-09
2020,7,5.56036558905e-09
2020,8,5.56036558905e-09
2020,9,5.56036558905e-09
2020,10,5.56036558905e-09
2020,11,5.56036558905e-09
2020,12,5.56036558905e-09
2021,1,5.56036558905e-09
2021,2,5.56036558905e-09
2021,3,5.56036558905e-09
2021,4,5.56036558905e-09
2021,5,5.56036558905e-09
2021,6,5.56036558905e-09
2021,7,5.56036558905e-09
2021,8,5.56036558905e-09
2021,9,5.56036558905e-09
2021,10,5.56036558905e-09
2021,11,5.56036558905e-09
2021,12,5.56036558905e-09
2022,1,5.56036558905e-09
2022,2,5.56036558905e-09
2022,3,5.56036558905e-09
2022,4,5.56036558905e-09
2022,5,5.56036558905e-09
2022,6,5.56036558905e-09
2022,7,5.56036558905e-09
2022,8,5.56036558905e-09
2022,9,5.56036558905e-09
2022,10,5.56036558905e-09
2022,11,5.56036558905e-09
2022,12,5.56036558905e-09
2023,1,5.56036558905e-09
2023,2,5.56036558905e-09
2023,3,5.56036558905e-09
2023,4,5.56036558905e-09
2023,5,5.56036558905e-09
2023,6,5.56036558905e-09
2023,7,5.56036558905e-09
2023,8,5.56036558905e-09
2023,9,5.56036558905e-09
2023,10,5.56036558905e-09
2023,11,5.56036558905e-09
2023,12,5.56036558905e-09
