Date,SO2EMAN Monthly Sum
2014-04-01,1.1414003829820001e-07
2014-05-01,1.1414199269320007e-07
2014-06-01,1.141472113984e-07
2014-07-01,1.1414895020109994e-07
2014-08-01,1.141522001681e-07
2014-09-01,1.1414654583569994e-07
2014-10-01,1.1414546670439999e-07
2014-11-01,1.141461836057e-07
2014-12-01,1.1414597713919997e-07
2015-01-01,1.1413778382369998e-07
2015-02-01,1.1413780032880001e-07
2015-03-01,1.1414031927409999e-07
2015-04-01,1.1414003868619999e-07
2015-05-01,1.1414199056620007e-07
2015-06-01,1.141472113204e-07
2015-07-01,1.141489501701e-07
2015-08-01,1.1415220017810002e-07
2015-09-01,1.1414654605969998e-07
2015-10-01,1.1414546669340001e-07
2015-11-01,1.1414618379369998e-07
2015-12-01,1.1414597734919994e-07
2016-01-01,1.1413778265669999e-07
2016-02-01,1.1413784221750002e-07
2016-03-01,1.141403649482e-07
2016-04-01,1.1414004291749994e-07
2016-05-01,1.1414212560099998e-07
2016-06-01,1.1414733133979995e-07
2016-07-01,1.141490296669e-07
2016-08-01,1.1415217454329994e-07
2016-09-01,1.1414638941540001e-07
2016-10-01,1.1414547571240006e-07
2016-11-01,1.1414621964680007e-07
2016-12-01,1.141458347731e-07
2017-01-01,1.1413762271670003e-07
2017-02-01,1.1413787895679998e-07
2017-03-01,1.1414036375919998e-07
2017-04-01,1.1414004249549995e-07
2017-05-01,1.1414212464200001e-07
2017-06-01,1.1414733216579995e-07
2017-07-01,1.1414902973689995e-07
2017-08-01,1.1415217444329993e-07
2017-09-01,1.1414638932239995e-07
2017-10-01,1.1414547579440005e-07
2017-11-01,1.141462195058e-07
2017-12-01,1.141458345421e-07
2018-01-01,1.1413778357669997e-07
2018-02-01,1.1413780072980006e-07
2018-03-01,1.1414032016209998e-07
2018-04-01,1.1414003782919998e-07
2018-05-01,1.1414199256520007e-07
2018-06-01,1.1414721108039999e-07
2018-07-01,1.1414895025009997e-07
2018-08-01,1.1415220023010001e-07
2018-09-01,1.1414654591870001e-07
2018-10-01,1.141454669064e-07
2018-11-01,1.1414618360370002e-07
2018-12-01,1.1414597709719999e-07
2019-01-01,1.1413778407569999e-07
2019-02-01,1.1413780063280001e-07
2019-03-01,1.1414032055309999e-07
2019-04-01,1.141400390282e-07
2019-05-01,1.141419904842e-07
2019-06-01,1.1414721120439999e-07
2019-07-01,1.1414895027909999e-07
2019-08-01,1.141522002691e-07
2019-09-01,1.1414654605569999e-07
2019-10-01,1.1414546673839998e-07
2019-11-01,1.1414618318469994e-07
2019-12-01,1.141459774282e-07
2020-01-01,1.1413778305369999e-07
2020-02-01,1.1413784240450001e-07
2020-03-01,1.1414036263919997e-07
2020-04-01,1.1414004312749994e-07
2020-05-01,1.1414212556800001e-07
2020-06-01,1.1414733115779994e-07
2020-07-01,1.1414902953889999e-07
2020-08-01,1.1415217451329999e-07
2020-09-01,1.1414638941839993e-07
2020-10-01,1.1414547570240007e-07
2020-11-01,1.1414621975880004e-07
2020-12-01,1.1414583456110001e-07
2021-01-01,1.1413762370570007e-07
2021-02-01,1.141378794678e-07
2021-03-01,1.1414036353819998e-07
2021-04-01,1.1414004266949995e-07
2021-05-01,1.1414212569100001e-07
2021-06-01,1.1414733116779995e-07
2021-07-01,1.1414902972690001e-07
2021-08-01,1.1415217441029997e-07
2021-09-01,1.1414638940339995e-07
2021-10-01,1.1414547566740005e-07
2021-11-01,1.1414622076880007e-07
2021-12-01,1.141458344331e-07
2022-01-01,1.1413778271269998e-07
2022-02-01,1.1413780075080007e-07
2022-03-01,1.141403201351e-07
2022-04-01,1.1414003845920001e-07
2022-05-01,1.141419915742e-07
2022-06-01,1.1414721120140002e-07
2022-07-01,1.1414895037909995e-07
2022-08-01,1.1415220013710001e-07
2022-09-01,1.141465457167e-07
2022-10-01,1.141454658174e-07
2022-11-01,1.141461835047e-07
2022-12-01,1.1414597714920001e-07
2023-01-01,1.1413778380369999e-07
2023-02-01,1.1413780062980006e-07
2023-03-01,1.1414032025509998e-07
2023-04-01,1.141400390692e-07
2023-05-01,1.1414199129420006e-07
2023-06-01,1.141472111904e-07
2023-07-01,1.141489502801e-07
2023-08-01,1.1415220024909999e-07
2023-09-01,1.1414654594070001e-07
2023-10-01,1.141454667744e-07
2023-11-01,1.141461835657e-07
2023-12-01,1.1414597712919998e-07
