Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1992,3,4.31294744535e-09,9.752064777e-09,2.396998182892e-07,1.132192266598e-08
1992,4,4.326964744919999e-09,9.827215299551999e-09,2.389728512762e-07,1.1288379207150002e-08
1992,5,4.340977440960001e-09,9.902368835956004e-09,2.382537752702e-07,1.1254827861089995e-08
1992,6,4.354995105350001e-09,9.977533311970005e-09,2.3754050301679989e-07,1.1221285448710003e-08
1992,7,4.36345919626e-09,1.0008097803301998e-08,2.3700853192610003e-07,1.119647553554e-08
1992,8,4.36506241276e-09,9.982799033283999e-09,2.366995833467e-07,1.118227358472e-08
1992,9,4.36664156814e-09,9.957704050706998e-09,2.363850481013e-07,1.11683309354e-08
1992,10,4.368175600899999e-09,9.932602531131999e-09,2.3607704466080013e-07,1.1154403221329997e-08
1992,11,4.36970450388e-09,9.907506110354996e-09,2.3577220196860014e-07,1.114047346437e-08
1992,12,4.37130140519e-09,9.882402227709996e-09,2.354683711169001e-07,1.1126559420260005e-08
1993,1,4.37286833053e-09,9.856898877146003e-09,2.3515248925580005e-07,1.111238422618e-08
1993,2,4.37434519761e-09,9.832610963518004e-09,2.3486121342110005e-07,1.1098902613250002e-08
1993,3,4.37587012168e-09,9.808345728108001e-09,2.3457472267690005e-07,1.1085450820399999e-08
1993,4,4.3774179954299985e-09,9.783244276584002e-09,2.34270492789e-07,1.1071510023920004e-08
1993,5,4.378971087139999e-09,9.758144549828e-09,2.3397316720380007e-07,1.1057591356609995e-08
1993,6,4.3805280359100004e-09,9.733044578455e-09,2.33683049715e-07,1.1043643662310003e-08
1993,7,4.38161355795e-09,9.694904017487004e-09,2.3320420862640015e-07,1.1021316854370004e-08
1993,8,4.38212181473e-09,9.639142251639999e-09,2.3247568213249997e-07,1.098766036125e-08
1993,9,4.382616380920001e-09,9.584210044341e-09,2.3174673696440002e-07,1.0954476486669999e-08
1993,10,4.383110291869999e-09,9.529283572823e-09,2.310242555755e-07,1.092130889703e-08
1993,11,4.3836105910100015e-09,9.474338510361999e-09,2.3030405049250002e-07,1.0888147837920004e-08
1993,12,4.384102320609998e-09,9.419403186032001e-09,2.29586294834e-07,1.0854981436299997e-08
1994,1,4.384607177179998e-09,9.363559440567e-09,2.288502763152e-07,1.0821260683660002e-08
1994,2,4.3850898306000005e-09,9.310418015129e-09,2.281567738752e-07,1.0789178093959995e-08
1994,3,4.3855691950899985e-09,9.25727817631e-09,2.274690985527e-07,1.0757098780949999e-08
1994,4,4.386061080509998e-09,9.202355387698998e-09,2.2674964147139997e-07,1.0723926649679998e-08
1994,5,4.386558573340001e-09,9.147412472109e-09,2.2603699615489997e-07,1.0690753235039996e-08
1994,6,4.387056556950001e-09,9.092475460306002e-09,2.253319813277e-07,1.0657583998340002e-08
1994,7,4.3893778729199995e-09,9.074029665858e-09,2.2412064858990002e-07,1.0601252702270003e-08
1994,8,4.394205179529999e-09,9.104275408908e-09,2.2221340441479996e-07,1.0512887680099995e-08
1994,9,4.39896493706e-09,9.134300949692995e-09,2.203223947145001e-07,1.0425769878599998e-08
1994,10,4.40372528234e-09,9.164334151133001e-09,2.1843694449350005e-07,1.0338663051880001e-08
1994,11,4.4084820286100005e-09,9.194356124993001e-09,2.1655306640409999e-07,1.0251545819779997e-08
1994,12,4.4132440989699984e-09,9.224380694808003e-09,2.1467352381040001e-07,1.0164434064580002e-08
1995,1,4.41808376e-09,9.254900009354004e-09,2.1275659125150002e-07,1.0075904225500004e-08
1995,2,4.42268358686e-09,9.28393836801e-09,2.109377474353e-07,9.991627315679996e-09
1995,3,4.427287625959999e-09,9.312983119820002e-09,2.091248436187e-07,9.907380330420003e-09
1995,4,4.432045882880001e-09,9.34301454067e-09,2.0724234793260007e-07,9.820268600649996e-09
1995,5,4.4368064129000006e-09,9.373040570730004e-09,2.053671516453e-07,9.733156092730001e-09
1995,6,4.44156236067e-09,9.40306437398e-09,2.034992467608e-07,9.6460405522e-09
1995,7,4.4268205095e-09,9.405160897630002e-09,2.0244840836270002e-07,9.59730716338e-09
