Year,Month,Monthly Sum
1999,11,4.19177849078e-09
1999,12,4.19646788433e-09
2000,1,4.201228065540001e-09
2000,2,4.20584016405e-09
2000,3,4.210449111259999e-09
2000,4,4.21513728454e-09
2000,5,4.219825440819999e-09
2000,6,4.2245107377400014e-09
2000,7,4.230342891450001e-09
2000,8,4.237692054470001e-09
2000,9,4.244927589789999e-09
2000,10,4.2521646452e-09
2000,11,4.25940224348e-09
2000,12,4.26663575858e-09
2001,1,4.273991451619999e-09
2001,2,4.280990402370001e-09
2001,3,4.287988277610001e-09
2001,4,4.29522638002e-09
2001,5,4.302460275119999e-09
2001,6,4.30969739851e-09
2001,7,4.316112445510001e-09
2001,8,4.321575517480001e-09
2001,9,4.3269474324499995e-09
2001,10,4.332318074549998e-09
2001,11,4.3376889048e-09
2001,12,4.343060393820001e-09
2002,1,4.348522795169999e-09
2002,2,4.353714090690001e-09
2002,3,4.358910919749999e-09
2002,4,4.364281318120001e-09
2002,5,4.3696553833400015e-09
2002,6,4.375023222019999e-09
2002,7,4.380913807799999e-09
2002,8,4.387590242329999e-09
2002,9,4.39416423732e-09
2002,10,4.400735064439999e-09
2002,11,4.407308545129999e-09
2002,12,4.413882161250001e-09
2003,1,4.420559720050002e-09
2003,2,4.42691971339e-09
2003,3,4.433274533940002e-09
2003,4,4.439851514299999e-09
2003,5,4.4464214640899994e-09
2003,6,4.45299456846e-09
2003,7,4.45836228851e-09
2003,8,4.462164136409999e-09
2003,9,4.465898743030001e-09
2003,10,4.469633814229999e-09
2003,11,4.47336562729e-09
2003,12,4.477102124620001e-09
2004,1,4.480895626970001e-09
2004,2,4.484567473169998e-09
2004,3,4.4882391308699995e-09
2004,4,4.49197346585e-09
2004,5,4.4957055517100005e-09
2004,6,4.4994396723e-09
2004,7,4.50504147049e-09
2004,8,4.51305195572e-09
2004,9,4.520947242810001e-09
2004,10,4.5288375431200004e-09
2004,11,4.53672987873e-09
2004,12,4.5446215244499986e-09
2005,1,4.55264089258e-09
2005,2,4.56027461021e-09
2005,3,4.567907983560001e-09
2005,4,4.5758012224599995e-09
2005,5,4.583692162729999e-09
2005,6,4.59158452612e-09
2005,7,4.597620158970001e-09
2005,8,4.6013701204200005e-09
2005,9,4.6050513364499994e-09
2005,10,4.6087328447200004e-09
2005,11,4.61241451277e-09
2005,12,4.61609621891e-09
2006,1,4.61983530148e-09
2006,2,4.623398499700001e-09
2006,3,4.6269574685400014e-09
2006,4,4.63064051657e-09
2006,5,4.6343199277700006e-09
2006,6,4.63799827586e-09
2006,7,4.640097499339998e-09
2006,8,4.6401082181e-09
2006,9,4.6401082181e-09
2006,10,4.6401082181e-09
2006,11,4.6401082181e-09
2006,12,4.6401082181e-09
2007,1,4.6401082181e-09
2007,2,4.6401082181e-09
2007,3,4.6401082181e-09
2007,4,4.6401082181e-09
2007,5,4.6401082181e-09
2007,6,4.6401082181e-09
2007,7,4.639706096010001e-09
2007,8,4.638732244650002e-09
2007,9,4.63776193198e-09
2007,10,4.6367945171500004e-09
2007,11,4.6358439173e-09
2007,12,4.634861264609999e-09
2008,1,4.633893481840001e-09
2008,2,4.632934955630001e-09
2008,3,4.631995965450001e-09
2008,4,4.63102377482e-09
2008,5,4.630066554460001e-09
2008,6,4.629086779550001e-09
2008,7,4.62898257344e-09
2008,8,4.6299716544300005e-09
2008,9,4.630929857029998e-09
2008,10,4.63189956623e-09
2008,11,4.632856924779999e-09
2008,12,4.633830274349999e-09
2009,1,4.6347965747099995e-09
2009,2,4.635750457830001e-09
2009,3,4.63666621749e-09
2009,4,4.637639221749999e-09
2009,5,4.6386040135500015e-09
2009,6,4.63956784733e-09
2009,7,4.640105972369999e-09
2009,8,4.6401082181e-09
2009,9,4.6401082181e-09
2009,10,4.6401082181e-09
2009,11,4.6401082181e-09
2009,12,4.6401082181e-09
2010,1,4.6401082181e-09
2010,2,4.6401082181e-09
2010,3,4.6401082181e-09
2010,4,4.6401082181e-09
2010,5,4.6401082181e-09
2010,6,4.6401082181e-09
2010,7,4.6401082181e-09
2010,8,4.6401082181e-09
2010,9,4.6401082181e-09
2010,10,4.6401082181e-09
2010,11,4.6401082181e-09
2010,12,4.6401082181e-09
2011,1,4.6401082181e-09
2011,2,4.6401082181e-09
2011,3,4.6401082181e-09
2011,4,4.6401082181e-09
2011,5,4.6401082181e-09
2011,6,4.6401082181e-09
2011,7,4.639706096010001e-09
2011,8,4.638732244650002e-09
2011,9,4.63776193198e-09
2011,10,4.6367945171500004e-09
2011,11,4.6358439173e-09
